title,summary,url,source,publication_date,sentiment
"Apple iPhone 17 Pro leaks: Price, specifications, design and more","The iPhone 17 Pro is expected to launch in September 2025 with a revamped design, upgraded camera, and a powerful A19 Pro ...",https://www.msn.com/en-in/news/other/apple-iphone-17-pro-leaks-price-specifications-design-and-more/ar-AA1BoBOO?ocid=BingNewsVerp,MSN,2025-03-22,Positive
"Apple iPhone 16 price drops by Rs 12,530: How to get this deal","Croma is offering a massive discount on the iPhone 16, with price cuts and bank offers reducing its cost by Rs 12,530. Check ...",https://www.msn.com/en-in/lifestyle/shopping/apple-iphone-16-price-drops-by-rs-12530-how-to-get-this-deal/ar-AA1Bo12m?ocid=BingNewsVerp,MSN,2025-03-22,Positive
"Apple iPhone 17: Dummy leak reveals major design changes, including ultra-thin 'air’ model","With the iPhone 17 expected later this year, leaks have surfaced revealing major design changes. From a possible ultra-thin ...",https://www.firstpost.com/tech/apple-iphone-17-dummy-leak-reveals-major-design-changes-including-ultra-thin-air-model-13873315.html,2d,2025-03-22,Negative
"Apple faces lawsuit for misleading buyers with AI claims, reshuffles leadership amid Siri delays","Apple is facing a class-action lawsuit over misleading AI claims, with consumers alleging false advertising of Apple ...",https://www.msn.com/en-in/news/other/apple-faces-lawsuit-for-misleading-buyers-with-ai-claims-reshuffles-leadership-amid-siri-delays/ar-AA1Bmso6?ocid=BingNewsVerp,MSN,2025-03-22,Negative
The Apple Watch Series 10 Is Back Down to Its Record Low of $299,"I f you're already well-integrated into the Apple ecosystem, then upgrading to an Apple Watch Series 10 might make sense if ...",https://www.msn.com/en-us/news/technology/the-apple-watch-series-10-is-back-down-to-its-record-low-of-299/ar-AA1Bv3Nt?ocid=BingNewsVerp,CNET,2025-03-23,Neutral
Apple shakes up AI executive ranks in bid to turn around Siri: Report,"Mike Rockwell, vice president in charge of the Vision Products Group, will now be in charge of the iPhone maker's Siri ...",https://www.msn.com/en-us/money/other/apple-replaces-siri-boss-in-ai-shakeup-after-ceo-tim-cook-loses-confidence-report/ar-AA1BkMKY?ocid=BingNewsVerp,MSN,2025-03-22,Neutral
"Apple TV+: Tech giant losing over $1 billion a year on streaming, lags behind Netflix, Disney Plus in subscription figures",Apple's streaming platform is losing over $1 billion a year despite being the home to hit shows like Severance and Ted Lasso.,https://indianexpress.com/article/entertainment/web-series/apple-tv-tech-giants-losing-over-1-billion-a-year-on-streaming-lags-behind-netflix-disney-plus-in-subscription-figures-9897962/,2d,2025-03-22,Neutral
"Apple Watch double tap feature: How to use, set up process, and more",Users can tap the index finger and thumb of their watch hand together twice to quickly perform many of the most common ...,https://www.moneycontrol.com/technology/apple-watch-double-tap-feature-how-to-use-set-up-process-and-more-article-12972845.html,16h,2025-03-23,Positive
Apple Hiring In India For Key Roles As It Looks To Manufacture Airpods,"Apple’s key supplier, Hon Hai Precision (Foxconn), is aggressively accelerating its shift of iPhone supply chains to India.",https://www.news18.com/business/apple-hiring-in-india-for-key-roles-as-it-looks-to-manufacture-airpods-9269586.html,2d,2025-03-22,Neutral
Apple sued for false advertising over delay in rollout of Apple Intelligence features,The lawsuit seeks damages from Apple on behalf of customers who purchased iPhones and other devices meant to support Apple ...,https://indianexpress.com/article/technology/artificial-intelligence/apple-sued-false-advertising-delay-rollout-ai-features-9897984/,2d,2025-03-22,Negative
